Sira 	Kod 	Nota53 	NotaAE 	Koma53 	KomaAE 	Pay 	Payda 	Ms 	LNS 	VelOn 	Soz1 	Bolum 	
60 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	106 	 	 	
61 	9 	Fa5#1  	F5#1 	341 	341 	1 	16 	263 	95 	102 	 	 	
62 	9 	Fa5    	F5   	340 	340 	1 	16 	263 	95 	98 	 	 	
63 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	94 	 	 	
64 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	90 	 	 	
65 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	86 	 	 	
66 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	82 	 	 	
67 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	78 	 	 	
68 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	78 	 	 	
69 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	84 	 	 	
70 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
71 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
72 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
73 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	108 	 	 	
74 	9 	Do5    	C5   	318 	318 	1 	8 	526 	95 	114 	 	 	
75 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	96 	 	 	
76 	9 	La4    	A4   	305 	305 	3 	16 	789 	95 	78 	 	 	
77 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	96 	 	 	
78 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
79 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	96 	 	 	
80 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	96 	 	 	
81 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	96 	 	 	
82 	9 	La4    	A4   	305 	305 	1 	16 	263 	95 	78 	 	 	
83 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
84 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
85 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	114 	 	 	
86 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	114 	 	 	
87 	9 	La4    	A4   	305 	305 	1 	8 	526 	95 	102 	 	 	
88 	9 	Sol4   	G4   	296 	296 	1 	8 	526 	95 	90 	 	 	
89 	9 	Fa4#3  	F4#4 	290 	291 	1 	4 	1053 	95 	78 	 	 	
90 	9 	Re4    	D4   	274 	274 	1 	8 	526 	95 	108 	 	 	
91 	9 	Mi4    	E4   	283 	283 	3 	16 	789 	95 	108 	 	 	
92 	9 	Re4    	D4   	274 	274 	1 	16 	263 	95 	108 	 	 	
93 	9 	Mi4    	E4   	283 	283 	1 	8 	526 	95 	108 	 	 	
94 	9 	Fa4#3  	F4#4 	290 	291 	1 	8 	526 	95 	108 	 	 	
95 	9 	Re4    	D4   	274 	274 	3 	8 	1579 	95 	108 	 	 	
96 	9 	Re4    	D4   	274 	274 	1 	4 	1053 	95 	108 	 	2. Hane 	
97 	9 	Mi4#3  	E4#4 	286 	287 	1 	8 	526 	95 	96 	 	 	
98 	9 	Fa4#4  	F4#4 	291 	291 	1 	4 	1053 	95 	96 	 	 	
99 	9 	La4    	A4   	305 	305 	1 	16 	263 	95 	84 	 	 	
100 	9 	Sol4   	G4   	296 	296 	1 	16 	263 	95 	96 	 	 	
101 	9 	Fa4#4  	F4#4 	291 	291 	1 	16 	263 	95 	96 	 	 	
102 	9 	Mi4    	E4   	283 	283 	1 	16 	263 	95 	96 	 	 	
103 	9 	Fa4#4  	F4#4 	291 	291 	3 	8 	1579 	95 	90 	 	 	
104 	9 	La4    	A4   	305 	305 	1 	4 	1053 	95 	108 	 	 	
105 	9 	La4    	A4   	305 	305 	1 	16 	263 	95 	96 	 	 	
106 	9 	Sol4#3 	G4#4 	299 	300 	1 	16 	263 	95 	96 	 	 	
107 	9 	La4    	A4   	305 	305 	1 	4 	1053 	95 	96 	 	 	
108 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	84 	 	 	
109 	9 	Do5#3  	C5#4 	321 	322 	1 	8 	526 	95 	96 	 	 	
110 	9 	Re5    	D5   	327 	327 	3 	8 	1579 	95 	96 	 	 	
111 	9 	Re5    	D5   	327 	327 	1 	4 	1053 	95 	96 	 	 	
112 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
113 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	96 	 	 	
114 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	78 	 	 	
115 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	84 	 	 	
116 	9 	Fa5#3  	F5#4 	343 	344 	1 	8 	526 	95 	90 	 	 	
117 	9 	Re5    	D5   	327 	327 	1 	8 	526 	95 	96 	 	 	
118 	9 	Fa5#3  	F5#4 	343 	344 	1 	8 	526 	95 	102 	 	 	
119 	9 	Sol5   	G5   	349 	349 	1 	8 	526 	95 	108 	 	 	
120 	9 	La5    	A5   	358 	358 	1 	8 	526 	95 	114 	 	 	
121 	9 	Fa5#3  	F5#4 	343 	344 	1 	4 	1053 	95 	84 	 	 	
122 	9 	Re5    	D5   	327 	327 	1 	8 	526 	95 	96 	 	 	
123 	9 	Mi5    	E5   	336 	336 	1 	4 	1053 	95 	96 	 	 	
124 	9 	La4    	A4   	305 	305 	1 	8 	526 	95 	78 	 	 	
125 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	96 	 	 	
126 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	96 	 	 	
127 	9 	Re5    	D5   	327 	327 	3 	8 	1579 	95 	96 	 	 	
128 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	108 	 	Teslim 	
129 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	96 	 	 	
130 	9 	Fa5#4  	F5#4 	344 	344 	1 	16 	263 	95 	96 	 	 	
131 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	96 	 	 	
132 	9 	Fa5#4  	F5#4 	344 	344 	1 	4 	1053 	95 	96 	 	 	
133 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	78 	 	 	
134 	9 	Fa5#4  	F5#4 	344 	344 	1 	16 	263 	95 	96 	 	 	
135 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	96 	 	 	
136 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	96 	 	 	
137 	9 	Fa5#4  	F5#4 	344 	344 	4 	16 	1053 	95 	96 	 	 	
138 	9 	La5    	A5   	358 	358 	1 	8 	526 	95 	108 	 	 	
139 	9 	La5    	A5   	358 	358 	1 	16 	263 	95 	114 	 	 	
140 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	110 	 	 	
141 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	106 	 	 	
142 	9 	Fa5#1  	F5#1 	341 	341 	1 	16 	263 	95 	102 	 	 	
143 	9 	Fa5    	F5   	340 	340 	1 	16 	263 	95 	98 	 	 	
144 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	94 	 	 	
145 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	90 	 	 	
146 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	86 	 	 	
147 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	82 	 	 	
148 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	78 	 	 	
149 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	78 	 	 	
150 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	84 	 	 	
151 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
152 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
153 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
154 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	108 	 	 	
155 	9 	Do5    	C5   	318 	318 	1 	8 	526 	95 	114 	 	 	
156 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	96 	 	 	
157 	9 	La4    	A4   	305 	305 	3 	16 	789 	95 	78 	 	 	
158 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	96 	 	 	
159 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
160 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	96 	 	 	
161 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	96 	 	 	
162 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	96 	 	 	
163 	9 	La4    	A4   	305 	305 	1 	16 	263 	95 	78 	 	 	
164 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
165 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
166 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	114 	 	 	
167 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	114 	 	 	
168 	9 	La4    	A4   	305 	305 	1 	8 	526 	95 	102 	 	 	
169 	9 	Sol4   	G4   	296 	296 	1 	8 	526 	95 	90 	 	 	
170 	9 	Fa4#3  	F4#4 	290 	291 	1 	4 	1053 	95 	78 	 	 	
171 	9 	Re4    	D4   	274 	274 	1 	8 	526 	95 	108 	 	 	
172 	9 	Mi4    	E4   	283 	283 	3 	16 	789 	95 	108 	 	 	
173 	9 	Re4    	D4   	274 	274 	1 	16 	263 	95 	108 	 	 	
174 	9 	Mi4    	E4   	283 	283 	1 	8 	526 	95 	108 	 	 	
175 	9 	Fa4#3  	F4#4 	290 	291 	1 	8 	526 	95 	108 	 	 	
176 	9 	Re4    	D4   	274 	274 	3 	8 	1579 	95 	108 	 	 	
177 	9 	La5    	A5   	358 	358 	1 	4 	1053 	95 	108 	 	3. Hane 	
178 	9 	La5    	A5   	358 	358 	1 	16 	263 	95 	96 	 	 	
179 	9 	Sol5#4 	G4#4 	353 	353 	1 	16 	263 	95 	96 	 	 	
180 	9 	La5    	A5   	358 	358 	1 	4 	1053 	95 	96 	 	 	
181 	9 	Sol5#4 	G4#4 	353 	353 	1 	16 	263 	95 	84 	 	 	
182 	9 	La5    	A5   	358 	358 	1 	16 	263 	95 	96 	 	 	
183 	9 	Si5    	B5   	367 	367 	1 	16 	263 	95 	96 	 	 	
184 	9 	Sol5#4 	G4#4 	353 	353 	1 	16 	263 	95 	96 	 	 	
185 	9 	La5    	A5   	358 	358 	3 	8 	1579 	95 	96 	 	 	
186 	9 	La5    	A5   	358 	358 	1 	8 	526 	95 	102 	 	 	
187 	9 	Re6    	D6   	380 	380 	1 	8 	526 	95 	96 	 	 	
188 	9 	Do6    	C6   	371 	371 	1 	16 	263 	95 	96 	 	 	
189 	9 	Si5b1  	B5b1 	366 	366 	1 	16 	263 	95 	96 	 	 	
190 	9 	Si5b1  	B5b1 	366 	366 	1 	16 	263 	95 	96 	 	 	
191 	9 	La5    	A5   	358 	358 	1 	8 	526 	95 	96 	 	 	
192 	9 	Si5b1  	B5b1 	366 	366 	1 	16 	263 	95 	96 	 	 	
193 	9 	La5    	A5   	358 	358 	1 	16 	263 	95 	114 	 	 	
194 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	105 	 	 	
195 	9 	Fa5#4  	F5#4 	344 	344 	1 	16 	263 	95 	96 	 	 	
196 	9 	Mi5#3  	E5#4 	339 	340 	1 	16 	263 	95 	87 	 	 	
197 	9 	Fa5#4  	F5#4 	344 	344 	3 	8 	1579 	95 	78 	 	 	
198 	9 	Mi5    	E5   	336 	336 	1 	8 	526 	95 	84 	 	 	
199 	9 	Fa5#3  	F5#4 	343 	344 	1 	8 	526 	95 	93 	 	 	
200 	9 	Sol5   	G5   	349 	349 	1 	8 	526 	95 	102 	 	 	
201 	9 	Do6    	C6   	371 	371 	1 	8 	526 	95 	111 	 	 	
202 	9 	Si5b1  	B5b1 	366 	366 	1 	8 	526 	95 	120 	 	 	
203 	9 	La5    	A5   	358 	358 	1 	8 	526 	95 	78 	 	 	
204 	9 	Sol5   	G5   	349 	349 	1 	8 	526 	95 	78 	 	 	
205 	9 	Fa5#3  	F5#4 	343 	344 	1 	8 	526 	95 	78 	 	 	
206 	9 	Re5    	D5   	327 	327 	1 	8 	526 	95 	78 	 	 	
207 	9 	Fa5#4  	F5#4 	344 	344 	1 	8 	526 	95 	78 	 	 	
208 	9 	Mi5    	E5   	336 	336 	1 	4 	1053 	95 	78 	 	 	
209 	9 	Do5#3  	C5#4 	321 	322 	1 	8 	526 	95 	78 	 	 	
210 	9 	La4    	A4   	305 	305 	1 	4 	1053 	95 	78 	 	 	
211 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	78 	 	 	
212 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	78 	 	 	
213 	9 	Si4    	B4   	314 	314 	1 	16 	263 	95 	78 	 	 	
214 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	78 	 	 	
215 	9 	Re5    	D5   	327 	327 	3 	8 	1579 	95 	78 	 	 	
216 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	108 	 	Teslim 	
217 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	96 	 	 	
218 	9 	Fa5#4  	F5#4 	344 	344 	1 	16 	263 	95 	96 	 	 	
219 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	96 	 	 	
220 	9 	Fa5#4  	F5#4 	344 	344 	1 	4 	1053 	95 	96 	 	 	
221 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	78 	 	 	
222 	9 	Fa5#4  	F5#4 	344 	344 	1 	16 	263 	95 	96 	 	 	
223 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	96 	 	 	
224 	9 	Mi5#4  	E5#4 	340 	340 	1 	16 	263 	95 	96 	 	 	
225 	9 	Fa5#4  	F5#4 	344 	344 	4 	16 	1053 	95 	96 	 	 	
226 	9 	La5    	A5   	358 	358 	1 	8 	526 	95 	108 	 	 	
227 	9 	La5    	A5   	358 	358 	1 	16 	263 	95 	114 	 	 	
228 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	110 	 	 	
229 	9 	Sol5   	G5   	349 	349 	1 	16 	263 	95 	106 	 	 	
230 	9 	Fa5#1  	F5#1 	341 	341 	1 	16 	263 	95 	102 	 	 	
231 	9 	Fa5    	F5   	340 	340 	1 	16 	263 	95 	98 	 	 	
232 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	94 	 	 	
233 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	90 	 	 	
234 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	86 	 	 	
235 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	82 	 	 	
236 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	78 	 	 	
237 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	78 	 	 	
238 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	84 	 	 	
239 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
240 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
241 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
242 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	108 	 	 	
243 	9 	Do5    	C5   	318 	318 	1 	8 	526 	95 	114 	 	 	
244 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	96 	 	 	
245 	9 	La4    	A4   	305 	305 	3 	16 	789 	95 	78 	 	 	
246 	9 	Mi5    	E5   	336 	336 	1 	16 	263 	95 	96 	 	 	
247 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	96 	 	 	
248 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	263 	95 	96 	 	 	
249 	9 	Re5    	D5   	327 	327 	3 	16 	789 	95 	96 	 	 	
250 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	96 	 	 	
251 	9 	La4    	A4   	305 	305 	1 	16 	263 	95 	78 	 	 	
252 	9 	Si4b2  	B4b1 	312 	313 	1 	16 	263 	95 	90 	 	 	
253 	9 	Do5    	C5   	318 	318 	1 	16 	263 	95 	102 	 	 	
254 	9 	Re5    	D5   	327 	327 	1 	16 	263 	95 	114 	 	 	
255 	9 	Si4b2  	B4b1 	312 	313 	1 	8 	526 	95 	114 	 	 	
256 	9 	La4    	A4   	305 	305 	1 	8 	526 	95 	102 	 	 	
257 	9 	Sol4   	G4   	296 	296 	1 	8 	526 	95 	90 	 	 	
258 	9 	Fa4#3  	F4#4 	290 	291 	1 	4 	1053 	95 	78 	 	 	
259 	9 	Re4    	D4   	274 	274 	1 	8 	526 	95 	108 	 	 	
260 	9 	Mi4    	E4   	283 	283 	3 	16 	789 	95 	108 	 	 	
261 	9 	Re4    	D4   	274 	274 	1 	16 	263 	95 	108 	 	 	
262 	9 	Mi4    	E4   	283 	283 	1 	8 	526 	95 	108 	 	 	
263 	9 	Fa4#3  	F4#4 	290 	291 	1 	8 	526 	95 	108 	 	 	
264 	9 	Re4    	D4   	274 	274 	3 	8 	1579 	95 	108 	 	 	
265 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	114 	 	4. Hane 	
266 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	110 	 	 	
267 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	105 	 	 	
268 	9 	Si4    	B4   	314 	314 	1 	16 	156 	95 	100 	 	 	
269 	9 	La4    	A4   	305 	305 	3 	16 	469 	95 	96 	 	 	
270 	9 	Sol4   	G4   	296 	296 	1 	16 	156 	95 	92 	 	 	
271 	9 	Fa4#3  	F4#4 	290 	291 	3 	16 	469 	95 	87 	 	 	
272 	9 	Mi4    	E4   	283 	283 	1 	16 	156 	95 	82 	 	 	
273 	9 	Re4    	D4   	274 	274 	2 	4 	1250 	95 	78 	 	 	
274 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	78 	 	 	
275 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	82 	 	 	
276 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	87 	 	 	
277 	9 	Fa5#3  	F5#4 	343 	344 	1 	16 	156 	95 	92 	 	 	
278 	9 	Mi5    	E5   	336 	336 	3 	16 	469 	95 	96 	 	 	
279 	9 	Re5    	D5   	327 	327 	1 	16 	156 	95 	100 	 	 	
280 	9 	Do5#3  	C5#4 	321 	322 	3 	16 	469 	95 	105 	 	 	
281 	9 	Si4    	B4   	314 	314 	1 	16 	156 	95 	110 	 	 	
282 	9 	La4    	A4   	305 	305 	2 	4 	1250 	95 	114 	 	 	
283 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	78 	 	 	
284 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	83 	 	 	
285 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	88 	 	 	
286 	9 	Mi5    	E5   	336 	336 	1 	16 	156 	95 	93 	 	 	
287 	9 	Fa5#3  	F5#4 	343 	344 	3 	16 	469 	95 	99 	 	 	
288 	9 	Sol5   	G5   	349 	349 	1 	16 	156 	95 	104 	 	 	
289 	9 	La5    	A5   	358 	358 	3 	16 	469 	95 	109 	 	 	
290 	9 	Si5    	B5   	367 	367 	1 	16 	156 	95 	114 	 	 	
291 	9 	La5    	A5   	358 	358 	3 	16 	469 	95 	114 	 	 	
292 	9 	Sol5   	G5   	349 	349 	1 	16 	156 	95 	112 	 	 	
293 	9 	Fa5#3  	F5#4 	343 	344 	3 	16 	469 	95 	110 	 	 	
294 	9 	Mi5    	E5   	336 	336 	1 	16 	156 	95 	108 	 	 	
295 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	96 	 	 	
296 	9 	Fa5#3  	F5#4 	343 	344 	1 	16 	156 	95 	96 	 	 	
297 	9 	Mi5    	E5   	336 	336 	3 	16 	469 	95 	96 	 	 	
298 	9 	Re5    	D5   	327 	327 	1 	16 	156 	95 	96 	 	 	
299 	9 	Do5#3  	C5#4 	321 	322 	3 	16 	469 	95 	96 	 	 	
300 	9 	La4    	A4   	305 	305 	1 	16 	156 	95 	96 	 	 	
301 	9 	Si4    	B4   	314 	314 	3 	16 	469 	95 	96 	 	 	
302 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	96 	 	 	
303 	9 	Re5    	D5   	327 	327 	2 	4 	1250 	95 	96 	 	 	
304 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	114 	 	4. Hane 	
305 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	110 	 	 	
306 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	105 	 	 	
307 	9 	Si4    	B4   	314 	314 	1 	16 	156 	95 	100 	 	 	
308 	9 	La4    	A4   	305 	305 	3 	16 	469 	95 	96 	 	 	
309 	9 	Sol4   	G4   	296 	296 	1 	16 	156 	95 	92 	 	 	
310 	9 	Fa4#3  	F4#4 	290 	291 	3 	16 	469 	95 	87 	 	 	
311 	9 	Mi4    	E4   	283 	283 	1 	16 	156 	95 	82 	 	 	
312 	9 	Re4    	D4   	274 	274 	2 	4 	1250 	95 	78 	 	 	
313 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	78 	 	 	
314 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	82 	 	 	
315 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	87 	 	 	
316 	9 	Fa5#3  	F5#4 	343 	344 	1 	16 	156 	95 	92 	 	 	
317 	9 	Mi5    	E5   	336 	336 	3 	16 	469 	95 	96 	 	 	
318 	9 	Re5    	D5   	327 	327 	1 	16 	156 	95 	100 	 	 	
319 	9 	Do5#3  	C5#4 	321 	322 	3 	16 	469 	95 	105 	 	 	
320 	9 	Si4    	B4   	314 	314 	1 	16 	156 	95 	110 	 	 	
321 	9 	La4    	A4   	305 	305 	2 	4 	1250 	95 	114 	 	 	
322 	9 	Re5    	D5   	327 	327 	3 	16 	469 	95 	78 	 	 	
323 	9 	Do5#3  	C5#4 	321 	322 	1 	16 	156 	95 	83 	 	 	
