Sira 	Kod 	Nota53 	NotaAE 	Pay 	Payda 	MS 	LNS 	VelOn 	Soz1 	Bolum 	
65 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
66 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
67 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
68 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
69 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
70 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
71 	9 	La4   	A4   	1 	8 	395 	95 	96 	 	 	
72 	9 	Sol4  	G4   	3 	16 	592 	95 	96 	 	 	
73 	9 	Fa4   	F4   	1 	16 	197 	95 	96 	 	 	
74 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
75 	9 	Fa4   	F4   	1 	8 	395 	95 	96 	 	 	
76 	9 	Mi4   	E4   	1 	4 	789 	95 	96 	 	 	
77 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
78 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
79 	9 	Fa4   	F4   	3 	8 	1184 	95 	96 	 		
80 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
81 	9 	Fa5   	F5   	1 	4 	789 	95 	96 	 	 	
82 	9 	Sol5  	G5   	1 	4 	789 	95 	96 	 	2. Hane  	
83 	9 	Sol5  	G5   	3 	16 	592 	95 	96 	 	 	
84 	9 	Fa5   	F5   	1 	16 	197 	95 	96 	 	 	
85 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
86 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
87 	9 	Mi5   	E5   	1 	4 	789 	95 	96 	 	 	
88 	9 	Fa5   	F5   	1 	4 	789 	95 	96 	 	 	
89 	9 	Sol5  	G5   	3 	8 	1184 	95 	96 	 	 	
90 	9 	Rest  	Rest 	1 	8 	395 	95 	96 	 	 	
91 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
92 	9 	La5b4 	A5b4 	1 	8 	395 	95 	96 	 	 	
93 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
94 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
95 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
96 	9 	La5b4 	A5b4 	1 	16 	197 	95 	96 	 	 	
97 	9 	Si5b1 	B5b1 	1 	16 	197 	95 	96 	 	 	
98 	9 	La5b4 	A5b4 	1 	8 	395 	95 	96 	 	 	
99 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
100 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
101 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
102 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
103 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
104 	9 	Fa5   	F5   	3 	8 	1184 	95 	96 	 	 	
105 	9 	La5b4 	A5b4 	1 	8 	395 	95 	96 	 	 	
106 	9 	Sol5  	G5   	1 	4 	789 	95 	96 	 	 	
107 	9 	La5b4 	A5b4 	1 	4 	789 	95 	96 	 	 	
108 	9 	La5b4 	A5b4 	1 	8 	395 	95 	96 	 	 	
109 	9 	Si5b1 	B5b1 	1 	8 	395 	95 	96 	 	 	
110 	9 	La5b4 	A5b4 	1 	8 	395 	95 	96 	 	 	
111 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
112 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
113 	9 	La5b4 	A5b4 	1 	8 	395 	95 	96 	 	 	
114 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
115 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
116 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
117 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
118 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
119 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
120 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
121 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
122 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
123 	9 	Re5b4 	D5b4 	1 	8 	395 	95 	96 	 	 	
124 	9 	Re5b4 	D5b4 	1 	16 	197 	95 	96 	 	 	
125 	9 	Do5   	C5   	1 	16 	197 	95 	96 	 	 	
126 	9 	Re5b4 	D5b4 	1 	16 	197 	95 	96 	 	 	
127 	9 	Mi5   	E5   	1 	16 	197 	95 	96 	 	 	
128 	9 	Re5b4 	D5b4 	1 	8 	395 	95 	96 	 	 	
129 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
130 	9 	Do5   	C5   	1 	2 	1579 	95 	96 	 	 	
131 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
132 	9 	Si4b1 	B4b1 	1 	8 	395 	95 	96 	 	 	
133 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
134 	9 	Re5b4 	D5b4 	1 	8 	395 	95 	96 	 	 	
135 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
136 	9 	Re5b4 	D5b4 	1 	8 	395 	95 	96 	 	 	
137 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
138 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
139 	9 	Re5b4 	D5b4 	1 	8 	395 	95 	96 	 	 	
140 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
141 	9 	Si4b1 	B4b1 	1 	8 	395 	95 	96 	 	 	
142 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
143 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
144 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
145 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
146 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
147 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
148 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
149 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
150 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
151 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
152 	9 	Fa4   	F4   	1 	4 	789 	95 	96 	 	 	
153 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
154 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
155 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
156 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
157 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
158 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
159 	9 	La4   	A4   	1 	8 	395 	95 	96 	 	 	
160 	9 	Sol4  	G4   	3 	16 	592 	95 	96 	 	 	
161 	9 	Fa4   	F4   	1 	16 	197 	95 	96 	 	 	
162 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
163 	9 	Fa4   	F4   	1 	8 	395 	95 	96 	 		
164 	9 	Mi4   	E4   	1 	4 	789 	95 	96 	 	 	
165 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
166 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
167 	9 	Fa4   	F4   	3 	8 	1184 	95 	96 	 	 	
168 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
169 	9 	Sol5  	G5   	1 	4 	789 	95 	96 	 	 	
170 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 	
171 	9 	Sol5  	G5   	1 	4 	789 	95 	96 	 	 3. Hane 	
172 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 	
173 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 	
174 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
175 	9 	Si5b5 	B5b5 	1 	8 	395 	95 	96 	 	 	
176 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
177 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
178 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
179 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
180 	9 	Fa5   	F5   	3 	16 	592 	95 	96 	 	 	
181 	9 	Mi5   	E5   	1 	16 	197 	95 	96 	 	 	
182 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
183 	9 	Do5#4 	C5#4 	1 	8 	395 	95 	96 	 	 	
184 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
185 	9 	Do6   	C6   	1 	8 	395 	95 	96 	 	 	
186 	9 	Si5b1 	B5b1 	1 	8 	395 	95 	96 	 	 	
187 	9 	Re6   	D6   	1 	4 	789 	95 	96 	 	 	
188 	9 	Do6   	C6   	1 	8 	395 	95 	96 	 	 	
189 	9 	Si5b1 	B5b1 	1 	8 	395 	95 	96 	 	 	
190 	9 	Do6   	C6   	3 	16 	592 	95 	96 	 	 	
191 	9 	Si5b1 	B5b1 	1 	16 	197 	95 	96 	 	 	
192 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 	
193 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 	
194 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
195 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
196 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
197 	9 	Si5b5 	B5b5 	1 	8 	395 	95 	96 	 	 	
198 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
199 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
200 	9 	Sol5  	G5   	3 	16 	592 	95 	96 	 	 	
201 	9 	Fa5   	F5   	1 	16 	197 	95 	96 	 	 	
202 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
203 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
204 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
205 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
206 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
207 	9 	Do5#4 	C5#4 	1 	8 	395 	95 	96 	 	 	
208 	9 	Re5   	D5   	1 	2 	1579 	95 	96 	 	 	
209 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
210 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
211 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
212 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
213 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
214 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
215 	9 	Do5#4 	C5#4 	1 	8 	395 	95 	96 	 	 	
216 	9 	Do5#4 	C5#4 	1 	8 	395 	95 	96 	 	 	
217 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
218 	9 	Do5#4 	C5#4 	1 	8 	395 	95 	96 	 	 	
219 	9 	Si4b4 	B4b4 	1 	8 	395 	95 	96 	 	 	
220 	9 	Si4b4 	B4b4 	1 	16 	197 	95 	96 	 	 	
221 	9 	La4   	A4   	1 	16 	197 	95 	96 	 	 	
222 	9 	Si4b4 	B4b4 	1 	16 	197 	95 	96 	 	 	
223 	9 	Do5#4 	C5#4 	1 	16 	197 	95 	96 	 	 	
224 	9 	Si4b4 	B4b4 	1 	8 	395 	95 	96 	 	 	
225 	9 	La4   	A4   	1 	8 	395 	95 	96 	 	 	
226 	9 	La4   	A4   	3 	8 	1184 	95 	96 	 	 	
227 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
228 	9 	Si4b1 	B4b1 	1 	4 	789 	95 	96 	 	 	
229 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
230 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
231 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
232 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
233 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
234 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
235 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
236 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
237 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
238 	9 	Fa4   	F4   	1 	4 	789 	95 	96 	 	 	
239 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
240 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
241 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
242 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
243 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
244 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
245 	9 	La4   	A4   	1 	8 	395 	95 	96 	 		
246 	9 	Sol4  	G4   	3 	16 	592 	95 	96 	 	 	
247 	9 	Fa4   	F4   	1 	16 	197 	95 	96 	 	 	
248 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
249 	9 	Fa4   	F4   	1 	8 	395 	95 	96 	 	 	
250 	9 	Mi4   	E4   	1 	4 	789 	95 	96 	 	 	
251 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
252 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
253 	9 	Fa4   	F4   	3 	8 	1184 	95 	96 	 	 	
254 	9 	Si5b5 	B5b5 	1 	8 	395 	95 	96 	 	 	
255 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 	
256 	9 	Si5b5 	B5b5 	1 	4 	789 	95 	96 	 	 	
257 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 4. Hane 	
258 	9 	Si5b5 	B5b5 	1 	4 	789 	95 	96 	 	 	
259 	9 	Si5b5 	B5b5 	1 	8 	395 	95 	96 	 	 	
260 	9 	Do6   	C6   	1 	8 	395 	95 	96 	 	 	
261 	9 	Si5b5 	B5b5 	1 	8 	395 	95 	96 	 	 	
262 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
263 	9 	Si5b5 	B5b5 	3 	16 	592 	95 	96 	 	 	
264 	9 	La5   	A5   	1 	16 	197 	95 	96 	 	 	
265 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
266 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
267 	9 	Sol5  	G5   	1 	4 	789 	95 	96 	 	 	
268 	9 	Fa5   	F5   	1 	4 	789 	95 	96 	 	 	
269 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
270 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
271 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
272 	9 	Sol5  	G5   	1 	4 	789 	95 	96 	 	 	
273 	9 	Fa5   	F5   	1 	4 	789 	95 	96 	 	 	
274 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
275 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
276 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
277 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
278 	9 	La5   	A5   	3 	8 	1184 	95 	96 	 	 	
279 	9 	Rest  	Rest 	1 	8 	395 	95 	96 	 	 	
280 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
281 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
282 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
283 	9 	Si5b5 	B5b5 	1 	8 	395 	95 	96 	 	 	
284 	9 	La5   	A5   	1 	4 	789 	95 	96 	 	 	
285 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
286 	9 	La5   	A5   	1 	8 	395 	95 	96 	 	 	
287 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
288 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
289 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
290 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
291 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
292 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
293 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
294 	9 	Do5#4 	C5#4 	1 	8 	395 	95 	96 	 	 	
295 	9 	Re5   	D5   	1 	2 	1579 	95 	96 	 	 	
296 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
297 	9 	Fa5   	F5   	1 	4 	789 	95 	96 	 	 	
298 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
299 	9 	Sol5  	G5   	1 	8 	395 	95 	96 	 	 	
300 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
301 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
302 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
303 	9 	Fa5   	F5   	1 	8 	395 	95 	96 	 	 	
304 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
305 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
306 	9 	Mi5   	E5   	1 	8 	395 	95 	96 	 	 	
307 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
308 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
309 	9 	Si4b1 	B4b1 	1 	8 	395 	95 	96 	 	 	
310 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
311 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
312 	9 	Re5   	D5   	1 	4 	789 	95 	96 	 	 	
313 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
314 	9 	Re5   	D5   	1 	8 	395 	95 	96 	 	 	
315 	9 	Do5   	C5   	1 	4 	789 	95 	96 	 	 	
316 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
317 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
318 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
319 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
320 	9 	Fa4   	F4   	1 	4 	789 	95 	96 	 	 	
321 	9 	Si4b5 	B4b5 	1 	4 	789 	95 	96 	 	 	
322 	9 	Rest  	Rest 	1 	4 	789 	95 	96 	 	 	
323 	9 	Do5   	C5   	1 	8 	395 	95 	96 	 	 	
324 	9 	Si4b5 	B4b5 	1 	8 	395 	95 	96 	 	 	
325 	9 	La4   	A4   	1 	4 	789 	95 	96 	 	 	
326 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
327 	9 	La4   	A4   	1 	8 	395 	95 	96 	 	 	
328 	9 	Sol4  	G4   	3 	16 	592 	95 	96 	 	 	
329 	9 	Fa4   	F4   	1 	16 	197 	95 	96 	 	 	
330 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
331 	9 	Fa4   	F4   	1 	8 	395 	95 	96 	 	 	
332 	9 	Mi4   	E4   	1 	4 	789 	95 	96 	 	 	
333 	9 	Sol4  	G4   	1 	8 	395 	95 	96 	 	 	
334 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
335 	9 	Fa4   	F4   	3 	8 	1184 	95 	96 	 	 	
336 	9 	Do4   	C4   	1 	8 	395 	95 	96 	 	 	
337 	9 	Re4   	D4   	1 	8 	395 	95 	96 	 	 	
338 	9 	Mi4   	E4   	1 	8 	395 	95 	96 	 	 	
339 	9 	Fa4   	F4   	1 	4 	789 	95 	96 	 	 	
